class_name,cluster
com.acmeair.AcmeAirConstants,-1
com.acmeair.config.AcmeAirConfiguration,4
com.acmeair.config.AcmeAirConfiguration$ServiceData,-1
com.acmeair.config.LoaderREST,2
com.acmeair.entities.AirportCodeMapping,-1
com.acmeair.entities.Booking,-1
com.acmeair.entities.BookingPK,4
com.acmeair.entities.Customer,0
com.acmeair.entities.Customer$MemberShipStatus,0
com.acmeair.entities.Customer$PhoneType,0
com.acmeair.entities.CustomerAddress,-1
com.acmeair.entities.CustomerSession,-1
com.acmeair.entities.Flight,-1
com.acmeair.entities.FlightPK,4
com.acmeair.entities.FlightSegment,-1
com.acmeair.loader.CustomerLoader,-1
com.acmeair.loader.FlightLoader,-1
com.acmeair.loader.Loader,7
com.acmeair.morphia.BigDecimalConverter,-1
com.acmeair.morphia.BigIntegerConverter,-1
com.acmeair.morphia.DatastoreFactory,-1
com.acmeair.morphia.MorphiaConstants,6
com.acmeair.morphia.entities.AirportCodeMappingImpl,-1
com.acmeair.morphia.entities.BookingImpl,-1
com.acmeair.morphia.entities.CustomerAddressImpl,-1
com.acmeair.morphia.entities.CustomerImpl,0
com.acmeair.morphia.entities.CustomerSessionImpl,-1
com.acmeair.morphia.entities.FlightImpl,-1
com.acmeair.morphia.entities.FlightSegmentImpl,1
com.acmeair.morphia.services.BookingServiceImpl,6
com.acmeair.morphia.services.CustomerServiceImpl,5
com.acmeair.morphia.services.FlightServiceImpl,1
com.acmeair.morphia.services.util.MongoConnectionManager,6
com.acmeair.reporter.ReportGenerator,-1
com.acmeair.reporter.parser.IndividualChartResults,3
com.acmeair.reporter.parser.MultipleChartResults,-1
com.acmeair.reporter.parser.OverallResults,-1
com.acmeair.reporter.parser.ResultParser,3
com.acmeair.reporter.parser.ResultParserHelper,3
com.acmeair.reporter.parser.component.JmeterJTLParser,2
com.acmeair.reporter.parser.component.JmeterSummariserParser,3
com.acmeair.reporter.parser.component.JtlTotals,2
com.acmeair.reporter.parser.component.NmonParser,3
com.acmeair.reporter.util.Messages,7
com.acmeair.reporter.util.StatResult,-1
com.acmeair.service.BookingService,4
com.acmeair.service.CustomerService,5
com.acmeair.service.DataService,-1
com.acmeair.service.FlightService,1
com.acmeair.service.KeyGenerator,-1
com.acmeair.service.ServiceLocator,-1
com.acmeair.service.TransactionService,-1
com.acmeair.web.AcmeAirApp,-1
com.acmeair.web.AppConfig,7
com.acmeair.web.BookingsREST,4
com.acmeair.web.CustomerREST,-1
com.acmeair.web.FlightsREST,-1
com.acmeair.web.LoginREST,2
com.acmeair.web.RESTCookieSessionFilter,2
com.acmeair.web.dto.AddressInfo,-1
com.acmeair.web.dto.BookingInfo,-1
com.acmeair.web.dto.BookingPKInfo,4
com.acmeair.web.dto.BookingReceiptInfo,-1
com.acmeair.web.dto.CustomerInfo,-1
com.acmeair.web.dto.FlightInfo,-1
com.acmeair.web.dto.FlightPKInfo,4
com.acmeair.web.dto.FlightSegmentInfo,-1
com.acmeair.web.dto.TripFlightOptions,-1
com.acmeair.web.dto.TripLegInfo,-1
com.acmeair.wxs.WXSConstants,6
com.acmeair.wxs.entities.AirportCodeMappingImpl,-1
com.acmeair.wxs.entities.BookingImpl,-1
com.acmeair.wxs.entities.BookingPKImpl,4
com.acmeair.wxs.entities.CustomerAddressImpl,-1
com.acmeair.wxs.entities.CustomerImpl,0
com.acmeair.wxs.entities.CustomerSessionImpl,-1
com.acmeair.wxs.entities.FlightImpl,-1
com.acmeair.wxs.entities.FlightPKImpl,4
com.acmeair.wxs.entities.FlightSegmentImpl,1
com.acmeair.wxs.service.BookingServiceImpl,7
com.acmeair.wxs.service.CustomerServiceImpl,5
com.acmeair.wxs.service.FlightServiceImpl,1
com.acmeair.wxs.utils.MapPutAllAgent,-1
com.acmeair.wxs.utils.WXSSessionManager,-1
