class_name,cluster
com.ibm.websphere.samples.daytrader.TradeAction,2
com.ibm.websphere.samples.daytrader.TradeServices,2
com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,-1
com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,10
com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,7
com.ibm.websphere.samples.daytrader.direct.TradeDirect,-1
com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,-1
com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,-1
com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,13
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,14
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,-1
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,2
com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,2
com.ibm.websphere.samples.daytrader.entities.AccountDataBean,14
com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean,14
com.ibm.websphere.samples.daytrader.entities.HoldingDataBean,14
com.ibm.websphere.samples.daytrader.entities.OrderDataBean,14
com.ibm.websphere.samples.daytrader.entities.QuoteDataBean,-1
com.ibm.websphere.samples.daytrader.util.CompleteOrderThread,-1
com.ibm.websphere.samples.daytrader.util.FinancialUtils,13
com.ibm.websphere.samples.daytrader.util.KeyBlock,10
com.ibm.websphere.samples.daytrader.util.KeyBlock$KeyBlockIterator,-1
com.ibm.websphere.samples.daytrader.util.Log,-1
com.ibm.websphere.samples.daytrader.util.MDBStats,10
com.ibm.websphere.samples.daytrader.util.TimerStat,10
com.ibm.websphere.samples.daytrader.util.TradeConfig,-1
com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage,15
com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter,10
com.ibm.websphere.samples.daytrader.web.TestServlet,5
com.ibm.websphere.samples.daytrader.web.TradeAppServlet,5
com.ibm.websphere.samples.daytrader.web.TradeBuildDB,-1
com.ibm.websphere.samples.daytrader.web.TradeConfigServlet,-1
