class_name,cluster
MavenWrapperDownloader,-1
org.springframework.samples.petclinic.PetclinicInitializer,-1
org.springframework.samples.petclinic.model.BaseEntity,8
org.springframework.samples.petclinic.model.NamedEntity,8
org.springframework.samples.petclinic.model.Owner,-1
org.springframework.samples.petclinic.model.Person,8
org.springframework.samples.petclinic.model.Pet,8
org.springframework.samples.petclinic.model.PetType,-1
org.springframework.samples.petclinic.model.Specialty,-1
org.springframework.samples.petclinic.model.ValidatorTests,-1
org.springframework.samples.petclinic.model.Vet,8
org.springframework.samples.petclinic.model.Vets,8
org.springframework.samples.petclinic.model.Visit,-1
org.springframework.samples.petclinic.repository.OwnerRepository,3
org.springframework.samples.petclinic.repository.PetRepository,3
org.springframework.samples.petclinic.repository.VetRepository,3
org.springframework.samples.petclinic.repository.VisitRepository,3
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,1
org.springframework.samples.petclinic.repository.jdbc.JdbcPet,8
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,1
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRowMapper,1
org.springframework.samples.petclinic.repository.jdbc.JdbcPetVisitExtractor,-1
org.springframework.samples.petclinic.repository.jdbc.JdbcVetRepositoryImpl,1
org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRepositoryImpl,1
org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRowMapper,1
org.springframework.samples.petclinic.repository.jdbc.OneToManyResultSetExtractor,-1
org.springframework.samples.petclinic.repository.jdbc.OneToManyResultSetExtractor$ExpectedResults,-1
org.springframework.samples.petclinic.repository.jpa.JpaOwnerRepositoryImpl,7
org.springframework.samples.petclinic.repository.jpa.JpaPetRepositoryImpl,7
org.springframework.samples.petclinic.repository.jpa.JpaVetRepositoryImpl,7
org.springframework.samples.petclinic.repository.jpa.JpaVisitRepositoryImpl,7
org.springframework.samples.petclinic.repository.springdatajpa.SpringDataOwnerRepository,2
org.springframework.samples.petclinic.repository.springdatajpa.SpringDataPetRepository,2
org.springframework.samples.petclinic.repository.springdatajpa.SpringDataVetRepository,2
org.springframework.samples.petclinic.repository.springdatajpa.SpringDataVisitRepository,2
org.springframework.samples.petclinic.service.AbstractClinicServiceTests,6
org.springframework.samples.petclinic.service.ClinicService,-1
org.springframework.samples.petclinic.service.ClinicServiceImpl,-1
org.springframework.samples.petclinic.service.ClinicServiceJdbcTests,6
org.springframework.samples.petclinic.service.ClinicServiceJpaTests,6
org.springframework.samples.petclinic.service.ClinicServiceSpringDataJpaTests,6
org.springframework.samples.petclinic.util.CallMonitoringAspect,-1
org.springframework.samples.petclinic.util.EntityUtils,-1
org.springframework.samples.petclinic.web.CrashController,0
org.springframework.samples.petclinic.web.CrashControllerTests,-1
org.springframework.samples.petclinic.web.OwnerController,4
org.springframework.samples.petclinic.web.OwnerControllerTests,5
org.springframework.samples.petclinic.web.PetController,5
org.springframework.samples.petclinic.web.PetControllerTests,5
org.springframework.samples.petclinic.web.PetTypeFormatter,0
org.springframework.samples.petclinic.web.PetTypeFormatterTests,-1
org.springframework.samples.petclinic.web.PetValidator,-1
org.springframework.samples.petclinic.web.VetController,8
org.springframework.samples.petclinic.web.VetControllerTests,5
org.springframework.samples.petclinic.web.VisitController,4
org.springframework.samples.petclinic.web.VisitControllerTests,5
