class_name,cluster
com.ibm.websphere.samples.pbw.ejb.BackOrderMgr,0
com.ibm.websphere.samples.pbw.ejb.CatalogMgr,0
com.ibm.websphere.samples.pbw.ejb.CustomerMgr,0
com.ibm.websphere.samples.pbw.ejb.EMailMessage,-1
com.ibm.websphere.samples.pbw.ejb.MailerAppException,0
com.ibm.websphere.samples.pbw.ejb.MailerBean,0
com.ibm.websphere.samples.pbw.ejb.NoSupplierException,-1
com.ibm.websphere.samples.pbw.ejb.ResetDBBean,0
com.ibm.websphere.samples.pbw.ejb.ShoppingCartBean,0
com.ibm.websphere.samples.pbw.ejb.ShoppingCartContent,0
com.ibm.websphere.samples.pbw.ejb.SuppliersBean,0
com.ibm.websphere.samples.pbw.jpa.BackOrder,0
com.ibm.websphere.samples.pbw.jpa.Customer,0
com.ibm.websphere.samples.pbw.jpa.Inventory,0
com.ibm.websphere.samples.pbw.jpa.Order,-1
com.ibm.websphere.samples.pbw.jpa.OrderItem,-1
com.ibm.websphere.samples.pbw.jpa.OrderItem$PK,1
com.ibm.websphere.samples.pbw.jpa.OrderKey,-1
com.ibm.websphere.samples.pbw.jpa.Supplier,-1
com.ibm.websphere.samples.pbw.migration.RedirectionFilter,0
com.ibm.websphere.samples.pbw.utils.ListProperties,-1
com.ibm.websphere.samples.pbw.utils.Util,0
com.ibm.websphere.samples.pbw.war.AccountBean,0
com.ibm.websphere.samples.pbw.war.AccountServlet,0
com.ibm.websphere.samples.pbw.war.AdminServlet,0
com.ibm.websphere.samples.pbw.war.BackOrderItem,0
com.ibm.websphere.samples.pbw.war.HelpBean,0
com.ibm.websphere.samples.pbw.war.ImageServlet,0
com.ibm.websphere.samples.pbw.war.LoginInfo,0
com.ibm.websphere.samples.pbw.war.MailAction,0
com.ibm.websphere.samples.pbw.war.OrderInfo,-1
com.ibm.websphere.samples.pbw.war.Populate,0
com.ibm.websphere.samples.pbw.war.ProductBean,0
com.ibm.websphere.samples.pbw.war.ShoppingBean,0
com.ibm.websphere.samples.pbw.war.ShoppingItem,1
com.ibm.websphere.samples.pbw.war.ValidatePasswords,0
com.ibm.websphere.samples.pbw.war.ValidatorUtils,0
pagecode.Help,0
pagecode.PageCodeBase,0
